기업명,분기,변동성_일간,변동성_연율화,평균수익률,누적수익률,거래일수
삼성카드,2023Q3,0.006505,0.1033,0.000429,0.0266,62
삼성카드,2023Q4,0.006787,0.1077,0.001009,0.0605,60
삼성카드,2024Q1,0.016703,0.2652,0.003593,0.2191,61
삼성카드,2024Q2,0.026979,0.4283,0.000197,0.0118,60
삼성카드,2024Q3,0.020012,0.3177,0.001158,0.0718,62
삼성카드,2024Q4,0.015424,0.2448,-0.000692,-0.0422,61
삼성카드,2025Q1,0.01202,0.1908,0.001389,0.0805,58
삼성카드,2025Q2,0.01582,0.2511,0.003497,0.2098,60
삼성카드,2025Q3,0.017056,0.2708,0.000891,0.057,64
삼성카드,2025Q4,0.014011,0.2224,0.001128,0.0666,59
삼성증권,2023Q1,0.015777,0.2504,0.000686,0.0419,61
삼성증권,2023Q2,0.010759,0.1708,0.002085,0.1272,61
삼성증권,2023Q3,0.013373,0.2123,0.000333,0.0206,62
삼성증권,2023Q4,0.013482,0.214,0.001704,0.1022,60
삼성증권,2024Q1,0.020245,0.3214,0.000668,0.0407,61
삼성증권,2024Q2,0.015186,0.2411,-0.000125,-0.0075,60
삼성증권,2024Q3,0.022302,0.354,0.001452,0.09,62
삼성증권,2024Q4,0.018097,0.2873,0.001222,0.0746,61
삼성증권,2025Q1,0.013364,0.2121,0.00068,0.0394,58
삼성증권,2025Q2,0.021957,0.3486,0.008107,0.4864,60
삼성증권,2025Q3,0.01968,0.3124,-0.000409,-0.0262,64
삼성증권,2025Q4,0.023869,0.3789,0.001723,0.1017,59
현대해상,2023Q1,0.020618,0.3273,0.002624,0.1601,61
현대해상,2023Q2,0.019306,0.3065,-0.001391,-0.0849,61
현대해상,2023Q3,0.023046,0.3658,0.000711,0.0441,62
현대해상,2023Q4,0.015856,0.2517,-0.000762,-0.0457,60
현대해상,2024Q1,0.022005,0.3493,0.000814,0.0496,61
현대해상,2024Q2,0.020708,0.3287,0.002054,0.1232,60
현대해상,2024Q3,0.021013,0.3336,-0.000717,-0.0445,62
현대해상,2024Q4,0.020608,0.3271,-0.004749,-0.2897,61
현대해상,2025Q1,0.022068,0.3503,-0.002114,-0.1226,58
현대해상,2025Q2,0.020374,0.3234,0.003184,0.1911,60
현대해상,2025Q3,0.020805,0.3303,0.000973,0.0623,64
현대해상,2025Q4,0.019662,0.3121,0.001525,0.09,59
한화생명,2023Q1,0.032392,0.5142,-0.001562,-0.0953,61
한화생명,2023Q2,0.019062,0.3026,0.001186,0.0723,61
